n_clusters;KMeans euclidean;KMeans dtw;KMeans soft dtw;KernelMeans;KShape
2;0.4489018253749481;0.4390638699300483;0.2630156415776327;-0.021356722323475033;0.139285547552601
3;0.34995697727862934;0.3458036937770605;0.3653024887430767;-0.07530233230579496;0.1242135913971241
4;0.2863519926388352;0.2537099229073197;0.22731318176272047;-0.05487350611863248;0.2604690105062174
5;0.2846486280442519;0.20702333328808278;0.25106150509606484;-0.08942656557446294;0.3441402880621178
6;0.22571615049192256;0.18679602968081213;0.2815816094879702;-0.1184372167871552;0.15305408954189306
7;0.24219960196184695;0.19368002623770258;0.22166778586329083;-0.12226148431782508;0.046607945700564715
8;0.22950388459138446;0.18120153105306824;0.1896711348614704;-0.17865719512194425;0.07512498425624944
9;0.23960791977637017;0.18308236288776006;0.1949578518806558;-0.18637960587779026;0.032287775168506776
10;0.20919258730011617;0.14834373851824545;0.20927617879824637;-0.1673770786718135;0.3271471740778938
11;0.217232326998637;0.19561089600099457;0.20531426403728703;-0.19098463895146073;-0.021912996067255133
12;0.2286409666478631;0.151932510998188;0.20140215758604021;-0.28644516353681415;0.013466762519808034
